State,Case_Number,Persons,County,City,Month,Day,Route,Rural/Urban,Latitude,Longitude,First Harmful Event,Manner of Collision,Light Conditions,Weather
Alabama,10128,1,JEFFERSON (73),TRUSSVILLE,March,Friday,Interstate,Urban,33.63116667,-86.62711389,Parked Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10129,2,BALDWIN (3),DAPHNE,March,Tuesday,Interstate,Urban,30.66140556,-87.86964444,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10130,1,MOBILE (97),SARALAND,March,Monday,Interstate,Rural,30.80433056,-88.10425278,Bridge Rail (Includes parapet),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Cloudy
Alabama,10135,1,JACKSON (71),BRIDGEPORT,February,Sunday,State Highway,Urban,34.92591667,-85.77288333,Culvert,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10136,2,FRANKLIN (59),RUSSELLVILLE,March,Friday,State Highway,Urban,34.48329444,-87.71524167,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Alabama,10138,1,MONTGOMERY (101),MONTGOMERY,March,Sunday,Local Street - Municipality,Urban,32.32668333,-86.33122778,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10142,3,JEFFERSON (73),TRUSSVILLE,March,Thursday,U.S. Highway,Urban,33.63185,-86.58823333,Motor Vehicle In-Transport,Front-to-Rear,Dark - Lighted,Clear
Alabama,10144,2,JEFFERSON (73),BIRMINGHAM,March,Friday,Local Street - Municipality,Urban,33.54042778,-86.77481389,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10147,3,MARSHALL (95),ARAB,March,Saturday,U.S. Highway,Urban,34.33311111,-86.50341111,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10150,1,CALHOUN (15),ANNISTON,March,Saturday,U.S. Highway,Urban,33.69985556,-85.82379722,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10152,4,JEFFERSON (73),HOOVER,March,Sunday,State Highway,Urban,33.35725,-86.85248889,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10153,2,MOBILE (97),MOBILE,March,Monday,U.S. Highway,Urban,30.68060556,-88.07209722,Motor Vehicle In-Transport,Front-to-Rear,Dark - Lighted,Clear
Alabama,10156,2,BIBB (7),CENTREVILLE,March,Thursday,State Highway,Urban,32.98476944,-87.14685278,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10158,1,MADISON (89),HUNTSVILLE,March,Thursday,Local Street - Municipality,Urban,34.71150833,-86.61,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10160,1,TALLADEGA (121),CHILDERSBURG,March,Friday,State Highway,Urban,33.28210833,-86.34396389,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10162,4,MONTGOMERY (101),MONTGOMERY,March,Friday,State Highway,Urban,32.30261667,-86.19501944,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10168,4,DEKALB (49),HENAGAR,March,Saturday,State Highway,Urban,34.61416944,-85.73943333,Motor Vehicle In-Transport,Front-to-Front,Dark - Not Lighted,Rain
Alabama,10171,3,HOUSTON (69),DOTHAN,April,Friday,U.S. Highway,Urban,31.23518889,-85.455175,Motor Vehicle In-Transport,Angle,Dark - Lighted,Cloudy
Alabama,10173,3,MADISON (89),HUNTSVILLE,April,Wednesday,Local Street - Municipality,Urban,34.78612222,-86.66309167,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10174,7,JEFFERSON (73),TARRANT,April,Wednesday,State Highway,Urban,33.58725278,-86.76765278,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10176,1,HOUSTON (69),DOTHAN,April,Thursday,U.S. Highway,Urban,31.23839167,-85.50643056,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10180,1,BALDWIN (3),DAPHNE,April,Monday,U.S. Highway,Urban,30.58159722,-87.89872222,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Rain
Alabama,10182,3,TUSCALOOSA (125),TUSCALOOSA,April,Tuesday,State Highway,Urban,33.20993056,-87.54828333,Motor Vehicle In-Transport,Front-to-Front,Dark - Lighted,Rain
Alabama,10183,1,JEFFERSON (73),FAIRFIELD,April,Tuesday,Local Street - Municipality,Urban,33.47626111,-86.92511944,Bridge Pier or Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10184,2,TALLADEGA (121),TALLADEGA,April,Tuesday,Local Street - Municipality,Urban,33.43394167,-86.10623056,Building,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10185,1,MADISON (89),HUNTSVILLE,April,Wednesday,Local Street - Municipality,Urban,34.67265278,-86.53949722,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10188,6,JEFFERSON (73),BIRMINGHAM,May,Saturday,Interstate,Urban,33.59871667,-86.89789444,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,Daylight,Rain
Alabama,10191,2,BALDWIN (3),DAPHNE,May,Wednesday,Interstate,Urban,30.65600278,-87.90920278,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Clear
Alabama,10193,1,CHAMBERS (17),LANETT,April,Thursday,Interstate,Urban,32.77500278,-85.25444722,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Rain
Alabama,10197,2,MORGAN (103),PRICEVILLE,February,Monday,State Highway,Urban,34.52338889,-86.89244167,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Alabama,10198,2,JEFFERSON (73),ADAMSVILLE,February,Monday,County Road,Urban,33.55970833,-86.92596111,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Cloudy
Alabama,10199,1,FRANKLIN (59),PHIL CAMPBELL,February,Monday,State Highway,Rural,34.35706667,-87.70602222,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10213,2,GREENE (63),BOLIGEE,April,Saturday,County Road,Rural,32.79825,-88.03165556,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Alabama,10215,2,LIMESTONE (83),ATHENS,April,Sunday,U.S. Highway,Urban,34.74566667,-86.95719167,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10216,1,JACKSON (71),HIGDON,April,Monday,County Road,Urban,34.84491389,-85.60796389,Live Animal,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10217,1,MOBILE (97),MOBILE,April,Tuesday,Local Street - Municipality,Urban,30.72660833,-88.11201667,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Cloudy
Alabama,10218,2,JACKSON (71),HOLLYWOOD,April,Tuesday,U.S. Highway,Urban,34.71858056,-85.95768056,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10223,4,MADISON (89),HUNTSVILLE,April,Friday,Local Street - Municipality,Urban,34.77900833,-86.57230833,Motor Vehicle In-Transport,Angle,Dark - Lighted,Cloudy
Alabama,10226,1,JACKSON (71),SCOTTSBORO,April,Sunday,U.S. Highway,Urban,34.64290556,-86.04622778,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Reported as Unknown,Clear
Alabama,10227,1,ELMORE (51),MILLBROOK,April,Sunday,State Highway,Urban,32.45001389,-86.36005,Ditch,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10230,1,HENRY (67),HEADLAND,April,Sunday,Local Street - Municipality,Urban,31.34900833,-85.32563333,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10231,1,COVINGTON (39),FLORALA,April,Sunday,State Highway,Rural,30.99693611,-86.28001111,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10235,1,SHELBY (117),PELHAM,May,Thursday,U.S. Highway,Urban,33.34641111,-86.79584167,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10238,1,TUSCALOOSA (125),TUSCALOOSA,May,Friday,Local Street - Municipality,Urban,33.20565556,-87.52893056,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10242,1,COFFEE (31),ENTERPRISE,May,Tuesday,U.S. Highway,Urban,31.33478056,-85.85509444,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10245,3,JEFFERSON (73),TARRANT,May,Wednesday,State Highway,Urban,33.58733889,-86.76730278,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10246,1,MOBILE (97),PRICHARD,May,Wednesday,State Highway,Urban,30.77928889,-88.14444167,Traffic Sign Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10247,1,MORGAN (103),DECATUR,May,Wednesday,Local Street - Municipality,Urban,34.58701944,-87.01974722,"Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.)",The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,Clear
Alabama,10248,1,LIMESTONE (83),ATHENS,May,Thursday,State Highway,Urban,34.82007222,-86.99803333,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Cloudy
Alabama,10250,1,BALDWIN (3),FAIRHOPE,May,Thursday,Local Street - Municipality,Urban,30.53756944,-87.88628056,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10251,2,TUSCALOOSA (125),TUSCALOOSA,May,Saturday,Local Street - Municipality,Urban,33.23466111,-87.5598,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Rain
Alabama,10259,4,MADISON (89),HUNTSVILLE,January,Sunday,Interstate,Urban,34.72019167,-86.62426389,Motor Vehicle In-Transport,Angle,Dark - Not Lighted,Clear
Alabama,10260,2,MOBILE (97),MOBILE,January,Monday,Interstate,Urban,30.68909722,-88.01611389,Motor Vehicle In-Transport,Front-to-Front,Dark - Lighted,Cloudy
Alabama,10261,1,BLOUNT (9),ONEONTA,May,Sunday,State Highway,Rural,33.94345278,-86.47979167,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10262,2,ETOWAH (55),SOUTHSIDE,May,Thursday,State Highway,Urban,33.84524167,-86.0503,Motor Vehicle In-Transport,Sideswipe - Same Direction,Daylight,Rain
Alabama,10263,3,JEFFERSON (73),BIRMINGHAM,March,Saturday,Local Street - Municipality,Urban,33.59369444,-86.69535833,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10264,1,MOBILE (97),MOBILE,March,Wednesday,State Highway,Urban,30.65664722,-88.08938889,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Cloudy
Alabama,10265,1,ETOWAH (55),ATTALLA,February,Friday,State Highway,Urban,33.99726944,-86.10348611,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Rain
Alabama,10266,2,MADISON (89),HUNTSVILLE,February,Thursday,Local Street - Municipality,Urban,34.63071389,-86.55993889,Motor Vehicle In-Transport,Front-to-Front,Daylight,Cloudy
Alabama,10267,3,BARBOUR (5),EUFAULA,January,Friday,U.S. Highway,Urban,31.87130278,-85.15599167,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Clear
Alabama,10268,4,MONTGOMERY (101),MONTGOMERY,January,Thursday,Local Street - Municipality,Urban,32.31758333,-86.23159722,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10269,6,MARSHALL (95),GUNTERSVILLE,January,Monday,U.S. Highway,Urban,34.329725,-86.31421667,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Alabama,10272,1,JEFFERSON (73),BIRMINGHAM,June,Monday,Interstate,Urban,33.56151667,-86.82786111,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10280,4,MOBILE (97),MOBILE,May,Monday,Interstate,Urban,30.69332222,-88.12541389,Motor Vehicle In-Transport,Sideswipe - Same Direction,Daylight,Clear
Alabama,10283,2,BULLOCK (11),UNION SPRINGS,May,Friday,Local Street - Municipality,Urban,32.13833333,-85.723225,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10284,2,JEFFERSON (73),BIRMINGHAM,May,Sunday,Local Street - Municipality,Urban,33.584575,-86.70442222,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10285,2,JEFFERSON (73),BIRMINGHAM,May,Tuesday,Local Street - Municipality,Urban,33.42061667,-86.84753333,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10287,5,PIKE (109),TROY,May,Thursday,U.S. Highway,Urban,31.85414722,-85.99676389,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10288,1,MOBILE (97),MOBILE,May,Thursday,Local Street - Municipality,Urban,30.58015556,-88.175825,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10297,4,ETOWAH (55),GADSDEN,May,Sunday,State Highway,Urban,34.01001111,-85.98935278,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10298,2,ESCAMBIA (53),BREWTON,May,Tuesday,U.S. Highway,Urban,31.16096667,-87.06175556,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10301,3,AUTAUGA (1),PRATTVILLE,May,Friday,U.S. Highway,Urban,32.43595,-86.45023056,Other Object (not fixed),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10306,1,LEE (81),OPELIKA,May,Friday,Interstate,Rural,32.62385,-85.38791389,Ground,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10307,2,RANDOLPH (111),ROANOKE,May,Wednesday,U.S. Highway,Urban,33.12518056,-85.35787778,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10308,1,ST. CLAIR (115),PELL CITY,May,Saturday,Local Street - Municipality,Urban,33.555675,-86.26273056,Culvert,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10310,2,MOBILE (97),MOBILE,May,Sunday,County Road,Urban,30.85383333,-88.288625,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10312,1,CALHOUN (15),OXFORD,May,Monday,Local Street - Municipality,Urban,33.57856389,-85.78725833,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10314,3,HOUSTON (69),DOTHAN,May,Thursday,State Highway,Urban,31.25246111,-85.41686667,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10318,1,MOBILE (97),PRICHARD,June,Saturday,Local Street - Municipality,Urban,30.72374722,-88.08370556,Pedalcyclist,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10323,2,HOUSTON (69),DOTHAN,June,Monday,State Highway,Urban,31.19101111,-85.45191389,Motor Vehicle In-Transport,Angle,Daylight,Clear
